function,taylor_expansion
6*cosh(x) + 3*asin(x),x**4/4 + x**3/2 + 3*x**2 + 3*x + 6
-cos(x) + 2*atan(x),-x**4/24 - 2*x**3/3 + x**2/2 + 2*x - 1
5*x**3 + 4*x + 4*tan(x),19*x**3/3 + 8*x
-sin(x) - 2*acos(x),x**3/2 + x - pi
-x**2 - 4*exp(x) + 3*asin(x),-x**4/6 - x**3/6 - 3*x**2 - x - 4
5*x - 2*sin(x),x**3/3 + 3*x
3*x**3 - 5*cos(x) - 4*acos(x),-5*x**4/24 + 11*x**3/3 + 5*x**2/2 + 4*x - 2*pi - 5
5*x**2 + 2*x + 2*asin(x),x**3/3 + 5*x**2 + 4*x
2*x**2 + 3*cosh(x),x**4/8 + 7*x**2/2 + 3
x**2 + 4*acos(x) + 2*asin(x),-x**3/3 + x**2 - 2*x + 2*pi
2*x + 5*tan(x),5*x**3/3 + 7*x
-2*x**3 - 4*cos(x) - acos(x),-x**4/6 - 11*x**3/6 + 2*x**2 + x - 4 - pi/2
-2*x**2 - 4*asin(x) + 5*atan(x),-7*x**3/3 - 2*x**2 + x
-2*cos(x) + 5*tan(x),-x**4/12 + 5*x**3/3 + x**2 + 5*x - 2
-exp(x) + tan(x),-x**4/24 + x**3/6 - x**2/2 - 1
-x + 4*log(x + 1),-x**4 + 4*x**3/3 - 2*x**2 + 3*x
3*exp(x) + 4*sinh(x),x**4/8 + 7*x**3/6 + 3*x**2/2 + 7*x + 3
2*x**2 + 5*x + 4*sin(x),-2*x**3/3 + 2*x**2 + 9*x
-sin(x) - 5*cos(x),-5*x**4/24 + x**3/6 + 5*x**2/2 - x - 5
3*cos(x) - 2*atan(x),x**4/8 + 2*x**3/3 - 3*x**2/2 - 2*x + 3
-x**3 + atan(x),-4*x**3/3 + x
4*cosh(x) - 5*atan(x),x**4/6 + 5*x**3/3 + 2*x**2 - 5*x + 4
-2*x**2 - 5*sinh(x) + acos(x),-x**3 - 2*x**2 - 6*x + pi/2
3*log(x + 1) - 4*asin(x),-3*x**4/4 + x**3/3 - 3*x**2/2 - x
-3*x + 3*log(x + 1),-3*x**4/4 + x**3 - 3*x**2/2
-x**2 + 3*sin(x) + atan(x),-5*x**3/6 - x**2 + 4*x
5*x**2 + 5*asin(x) + 2*atan(x),x**3/6 + 5*x**2 + 7*x
-log(x + 1) - 2*tan(x) - cosh(x),5*x**4/24 - x**3 - 3*x - 1
-4*cosh(x) + acos(x),-x**4/6 - x**3/6 - 2*x**2 - x - 4 + pi/2
-2*x**2 - 2*tan(x) + 5*atan(x),-7*x**3/3 - 2*x**2 + 3*x
-4*x**2 - 7*acos(x),7*x**3/6 - 4*x**2 + 7*x - 7*pi/2
-3*x**3 - 4*x**2 - 4*log(x + 1),x**4 - 13*x**3/3 - 2*x**2 - 4*x
3*x**2 + exp(x) + 4*sinh(x),x**4/24 + 5*x**3/6 + 7*x**2/2 + 5*x + 1
-2*cosh(x) + 3*asin(x),-x**4/12 + x**3/2 - x**2 + 3*x - 2
-3*x**2 - 3*sinh(x) + 2*cosh(x),x**4/12 - x**3/2 - 2*x**2 - 3*x + 2
-2*sinh(x) - 2*atan(x),x**3/3 - 4*x
-exp(x) - acos(x),-x**4/24 - x**2/2 - pi/2 - 1
3*x**2 + 5*log(x + 1) - 2*atan(x),-5*x**4/4 + 7*x**3/3 + x**2/2 + 3*x
5*x**2 + 2*cosh(x),x**4/12 + 6*x**2 + 2
-x**3 - 3*x - 3*sin(x),-x**3/2 - 6*x
-5*x**2 + 6*tan(x),2*x**3 - 5*x**2 + 6*x
-2*cos(x) + 3*atan(x),-x**4/12 - x**3 + x**2 + 3*x - 2
4*x**3 + 3*acos(x),7*x**3/2 - 3*x + 3*pi/2
3*exp(x) - 2*asin(x),x**4/8 + x**3/6 + 3*x**2/2 + x + 3
-4*x**2 - 3*log(x + 1) + tan(x),3*x**4/4 - 2*x**3/3 - 5*x**2/2 - 2*x
-x**2 + 5*log(x + 1),-5*x**4/4 + 5*x**3/3 - 7*x**2/2 + 5*x
-log(x + 1) + 4*sinh(x) + acos(x),x**4/4 + x**3/6 + x**2/2 + 2*x + pi/2
5*log(x + 1) - 3*sin(x),-5*x**4/4 + 13*x**3/6 - 5*x**2/2 + 2*x
-5*x**3 + x,-5*x**3 + x
2*exp(x) + 5*sinh(x),x**4/12 + 7*x**3/6 + x**2 + 7*x + 2
-x**2 + 2*log(x + 1) - 4*atan(x),-x**4/2 + 2*x**3 - 2*x**2 - 2*x
5*x**3 + 3*sinh(x) - 3*atan(x),13*x**3/2
-5*x**2 - 2*cosh(x) - acos(x),-x**4/12 + x**3/6 - 6*x**2 + x - 2 - pi/2
-5*x + cosh(x),x**4/24 + x**2/2 - 5*x + 1
-5*x**3 - 2*exp(x) + 4*sinh(x),-x**4/12 - 14*x**3/3 - x**2 + 2*x - 2
-3*x**2 - 5*sin(x) + 4*atan(x),-x**3/2 - 3*x**2 - x
3*sin(x) + 2*atan(x),-7*x**3/6 + 5*x
-x - 6*sin(x),x**3 - 7*x
-5*sinh(x) + 3*asin(x),-x**3/3 - 2*x
-3*x**2 - 3*x,-3*x**2 - 3*x
5*tan(x) + acos(x),3*x**3/2 + 4*x + pi/2
5*x**3 + 4*acos(x) - 4*atan(x),17*x**3/3 - 8*x + 2*pi
sinh(x) - 4*atan(x),3*x**3/2 - 3*x
exp(x) - sin(x) + 5*atan(x),x**4/24 - 4*x**3/3 + x**2/2 + 5*x + 1
cos(x) + 4*sinh(x) + 3*cosh(x),x**4/6 + 2*x**3/3 + x**2 + 4*x + 4
-4*x**2 + log(x + 1) + 2*acos(x),-x**4/4 - 9*x**2/2 - x + pi
log(x + 1) + 2*cosh(x),-x**4/6 + x**3/3 + x**2/2 + x + 2
5*x**3 + exp(x) + sinh(x),x**4/24 + 16*x**3/3 + x**2/2 + 2*x + 1
-4*x**2 - 2*asin(x),-x**3/3 - 4*x**2 - 2*x
5*exp(x) - sinh(x),5*x**4/24 + 2*x**3/3 + 5*x**2/2 + 4*x + 5
-2*sinh(x) - 2*cosh(x),-x**4/12 - x**3/3 - x**2 - 2*x - 2
-4*x - 6*asin(x),-x**3 - 10*x
exp(x) + 2*cosh(x) + 3*atan(x),x**4/8 - 5*x**3/6 + 3*x**2/2 + 4*x + 3
-3*x - 4*exp(x),-x**4/6 - 2*x**3/3 - 2*x**2 - 7*x - 4
5*sin(x) - 4*tan(x) + 2*cosh(x),x**4/12 - 13*x**3/6 + x**2 + x + 2
acos(x) - 4*asin(x),-5*x**3/6 - 5*x + pi/2
-2*x**2 - cos(x),-x**4/24 - 3*x**2/2 - 1
-x - 2*sinh(x),-x**3/3 - 3*x
-2*sin(x) + 3*tan(x) + 5*asin(x),13*x**3/6 + 6*x
3*x**3 - cos(x),-x**4/24 + 3*x**3 + x**2/2 - 1
-x - 2*exp(x),-x**4/12 - x**3/3 - x**2 - 3*x - 2
-6*tan(x) + 5*sinh(x),-7*x**3/6 - x
-2*tan(x) + 4*cosh(x),x**4/6 - 2*x**3/3 + 2*x**2 - 2*x + 4
-4*tan(x) + acos(x),-3*x**3/2 - 5*x + pi/2
2*log(x + 1) - 4*acos(x) + 2*atan(x),-x**4/2 + 2*x**3/3 - x**2 + 8*x - 2*pi
-x**3 - 5*x**2 - 2*acos(x),-2*x**3/3 - 5*x**2 + 2*x - pi
2*x - log(x + 1),x**4/4 - x**3/3 + x**2/2 + x
-3*log(x + 1) - sinh(x) + 4*asin(x),3*x**4/4 - x**3/2 + 3*x**2/2
3*log(x + 1) + 3*tan(x),-3*x**4/4 + 2*x**3 - 3*x**2/2 + 6*x
-2*sin(x) + 4*sinh(x),x**3 + 2*x
4*log(x + 1) - 2*cos(x) + 2*sinh(x),-13*x**4/12 + 5*x**3/3 - x**2 + 6*x - 2
2*log(x + 1) + 4*acos(x),-x**4/2 - x**2 - 2*x + 2*pi
-3*x + 2*log(x + 1) + 3*sinh(x),-x**4/2 + 7*x**3/6 - x**2 + 2*x
2*x + 4*asin(x),2*x**3/3 + 6*x
-5*exp(x) - sin(x) + 2*cos(x),-x**4/8 - 2*x**3/3 - 7*x**2/2 - 6*x - 3
x**3 - 2*cos(x),-x**4/12 + x**3 + x**2 - 2
-2*x**3 - sinh(x),-13*x**3/6 - x
3*x**2 - 2*exp(x) + sin(x),-x**4/12 - x**3/2 + 2*x**2 - x - 2
-2*x**2 - exp(x) - 5*cos(x),-x**4/4 - x**3/6 - x - 6
-x**2 - 3*tan(x) - 3*asin(x),-3*x**3/2 - x**2 - 6*x
3*x**2 + 3*acos(x),-x**3/2 + 3*x**2 - 3*x + 3*pi/2
4*exp(x) - 4*sin(x),x**4/6 + 4*x**3/3 + 2*x**2 + 4
4*x**2 - 3*x,4*x**2 - 3*x
-5*tan(x) - 2*sinh(x),-2*x**3 - 7*x
4*cosh(x) + 3*acos(x),x**4/6 - x**3/2 + 2*x**2 - 3*x + 4 + 3*pi/2
x - 2*sinh(x),-x**3/3 - x
2*x - 2*log(x + 1) + 3*cos(x),5*x**4/8 - 2*x**3/3 - x**2/2 + 3
4*x + 5*exp(x) + 2*cosh(x),7*x**4/24 + 5*x**3/6 + 7*x**2/2 + 9*x + 7
5*sin(x) + 4*tan(x),x**3/2 + 9*x
x**3 + 2*x - 5*asin(x),x**3/6 - 3*x
4*x**2 + 5*log(x + 1) - 2*sinh(x),-5*x**4/4 + 4*x**3/3 + 3*x**2/2 + 3*x
-4*x**2 + 3*cosh(x),x**4/8 - 5*x**2/2 + 3
-log(x + 1) + 4*sin(x),x**4/4 - x**3 + x**2/2 + 3*x
sin(x) + 5*cosh(x),5*x**4/24 - x**3/6 + 5*x**2/2 + x + 5
-3*log(x + 1) + 5*cos(x),23*x**4/24 - x**3 - x**2 - 3*x + 5
-3*exp(x) - 4*cos(x) + atan(x),-7*x**4/24 - 5*x**3/6 + x**2/2 - 2*x - 7
-tan(x) - 3*sinh(x),-5*x**3/6 - 4*x
-4*log(x + 1) + 4*tan(x) + acos(x),x**4 - x**3/6 + 2*x**2 - x + pi/2
4*exp(x) - sinh(x),x**4/6 + x**3/2 + 2*x**2 + 3*x + 4
2*acos(x) + 2*asin(x) + 2*atan(x),-2*x**3/3 + 2*x + pi
2*x**2 - 2*x,2*x**2 - 2*x
-3*x**2 + 2*exp(x) - 2*cosh(x),x**3/3 - 3*x**2 + 2*x
2*x**2 + 4*log(x + 1),-x**4 + 4*x**3/3 + 4*x
-5*exp(x) - 4*cosh(x),-3*x**4/8 - 5*x**3/6 - 9*x**2/2 - 5*x - 9
5*cosh(x) - 2*atan(x),5*x**4/24 + 2*x**3/3 + 5*x**2/2 - 2*x + 5
2*x**2 - 2*cosh(x) - 3*asin(x),-x**4/12 - x**3/2 + x**2 - 3*x - 2
4*x**3 + 5*sinh(x),29*x**3/6 + 5*x
log(x + 1) - cosh(x),-7*x**4/24 + x**3/3 - x**2 + x - 1
2*exp(x) + 4*atan(x),x**4/12 - x**3 + x**2 + 6*x + 2
-3*cos(x) - 4*asin(x),-x**4/8 - 2*x**3/3 + 3*x**2/2 - 4*x - 3
-4*x + 2*sin(x) + 4*asin(x),x**3/3 + 2*x
-3*x**3 - exp(x) + 3*cosh(x),x**4/12 - 19*x**3/6 + x**2 - x + 2
3*x**3 - x + 4*sinh(x),11*x**3/3 + 3*x
-2*exp(x) + 3*sin(x) + atan(x),-x**4/12 - 7*x**3/6 - x**2 + 2*x - 2
-log(x + 1) + 2*tan(x) + acos(x),x**4/4 + x**3/6 + x**2/2 + pi/2
-cos(x) + 3*acos(x),-x**4/24 - x**3/2 + x**2/2 - 3*x - 1 + 3*pi/2
-3*tan(x) + 5*sinh(x),-x**3/6 + 2*x
3*x**3 + 4*sin(x) - 5*sinh(x),3*x**3/2 - x
-3*x**2 + 5*asin(x),5*x**3/6 - 3*x**2 + 5*x
-3*x - sin(x),x**3/6 - 4*x
2*exp(x) - 5*asin(x),x**4/12 - x**3/2 + x**2 - 3*x + 2
2*sin(x) - 4*cos(x),-x**4/6 - x**3/3 + 2*x**2 + 2*x - 4
-5*tan(x) - 3*sinh(x),-13*x**3/6 - 8*x
3*log(x + 1) - 3*cosh(x),-7*x**4/8 + x**3 - 3*x**2 + 3*x - 3
-5*x - 4*asin(x),-2*x**3/3 - 9*x
5*exp(x) + 2*asin(x) - atan(x),5*x**4/24 + 3*x**3/2 + 5*x**2/2 + 6*x + 5
x**3 - 3*x - 4*tan(x),-x**3/3 - 7*x
x**2 + exp(x),x**4/24 + x**3/6 + 3*x**2/2 + x + 1
log(x + 1) + 2*cos(x) - 4*tan(x),-x**4/6 - x**3 - 3*x**2/2 - 3*x + 2
-2*acos(x) - 2*atan(x),x**3 - pi
2*exp(x) - 5*cos(x) - 4*acos(x),-x**4/8 + x**3 + 7*x**2/2 + 6*x - 2*pi - 3
-7*tan(x),-7*x**3/3 - 7*x
-3*acos(x) - 5*atan(x),13*x**3/6 - 2*x - 3*pi/2
-4*tan(x) - 5*sinh(x) - 2*cosh(x),-x**4/12 - 13*x**3/6 - x**2 - 9*x - 2
-cosh(x) - 3*atan(x),-x**4/24 + x**3 - x**2/2 - 3*x - 1
-x**3 - 5*acos(x),-x**3/6 + 5*x - 5*pi/2
-2*cos(x) - 2*tan(x),-x**4/12 - 2*x**3/3 + x**2 - 2*x - 2
5*x**2 - 3*cosh(x) - acos(x),-x**4/8 + x**3/6 + 7*x**2/2 + x - 3 - pi/2
-4*x**3 + 4*cos(x) - 2*asin(x),x**4/6 - 13*x**3/3 - 2*x**2 - 2*x + 4
-4*x**3 + 4*log(x + 1) + 3*tan(x),-x**4 - 5*x**3/3 - 2*x**2 + 7*x
4*sin(x) + 5*cos(x) + 4*acos(x),5*x**4/24 - 4*x**3/3 - 5*x**2/2 + 5 + 2*pi
-4*x**2 + 2*x - 4*asin(x),-2*x**3/3 - 4*x**2 - 2*x
-asin(x) + 4*atan(x),-3*x**3/2 + 3*x
-4*sin(x) - 5*acos(x) + 5*atan(x),-x**3/6 + 6*x - 5*pi/2
5*tan(x) - 5*sinh(x) + 2*atan(x),x**3/6 + 2*x
-5*x**3 + 3*tan(x),-4*x**3 + 3*x
4*cos(x) - 4*sinh(x),x**4/6 - 2*x**3/3 - 2*x**2 - 4*x + 4
-4*x - 5*asin(x),-5*x**3/6 - 9*x
2*exp(x) - 4*tan(x) - 5*cosh(x),-x**4/8 - x**3 - 3*x**2/2 - 2*x - 3
5*sinh(x) - 4*atan(x),13*x**3/6 + x
-4*x**2 - 5*log(x + 1),5*x**4/4 - 5*x**3/3 - 3*x**2/2 - 5*x
-2*x + atan(x),-x**3/3 - x
-4*acos(x) - asin(x),x**3/2 + 3*x - 2*pi
3*x**2 + 9*exp(x),3*x**4/8 + 3*x**3/2 + 15*x**2/2 + 9*x + 9
-5*x**2 + exp(x) - 4*acos(x),x**4/24 + 5*x**3/6 - 9*x**2/2 + 5*x - 2*pi + 1
3*x**2 + 2*asin(x),x**3/3 + 3*x**2 + 2*x
-cos(x) - 2*atan(x),-x**4/24 + 2*x**3/3 + x**2/2 - 2*x - 1
-5*x**2 + sin(x) + 4*atan(x),-3*x**3/2 - 5*x**2 + 5*x
3*exp(x) + 2*atan(x),x**4/8 - x**3/6 + 3*x**2/2 + 5*x + 3
-2*x + 5*sinh(x),5*x**3/6 + 3*x
-4*sin(x) - 3*tan(x) + 5*acos(x),-7*x**3/6 - 12*x + 5*pi/2
x + 2*exp(x) - acos(x),x**4/12 + x**3/2 + x**2 + 4*x - pi/2 + 2
2*sin(x) - 5*acos(x) - 3*asin(x),4*x - 5*pi/2
3*x + 5*exp(x) + 5*sin(x),5*x**4/24 + 5*x**2/2 + 13*x + 5
-2*log(x + 1) + 3*sin(x),x**4/2 - 7*x**3/6 + x**2 + x
-sinh(x) + 6*atan(x),-13*x**3/6 + 5*x
3*x**2 - 5*exp(x),-5*x**4/24 - 5*x**3/6 + x**2/2 - 5*x - 5
-4*exp(x) + log(x + 1) - 2*sinh(x),-5*x**4/12 - 2*x**3/3 - 5*x**2/2 - 5*x - 4
5*log(x + 1) - 4*sinh(x),-5*x**4/4 + x**3 - 5*x**2/2 + x
3*sin(x) - cos(x) + 3*sinh(x),-x**4/24 + x**2/2 + 6*x - 1
x**2 - 6*log(x + 1),3*x**4/2 - 2*x**3 + 4*x**2 - 6*x
-x + 4*exp(x) - 5*atan(x),x**4/6 + 7*x**3/3 + 2*x**2 - 2*x + 4
-3*sin(x) - 3*cosh(x) + 3*acos(x),-x**4/8 - 3*x**2/2 - 6*x - 3 + 3*pi/2
-3*cos(x) + 3*asin(x) - 5*atan(x),-x**4/8 + 13*x**3/6 + 3*x**2/2 - 2*x - 3
-2*x**2 + 4*sinh(x) - 4*cosh(x),-x**4/6 + 2*x**3/3 - 4*x**2 + 4*x - 4
-2*x**3 + 4*x**2,-2*x**3 + 4*x**2
5*x**2 + 5*sin(x) - 4*cos(x),-x**4/6 - 5*x**3/6 + 7*x**2 + 5*x - 4
-5*sin(x) - 4*acos(x) + 5*asin(x),7*x**3/3 + 4*x - 2*pi
4*exp(x) + sin(x) + 5*tan(x),x**4/6 + 13*x**3/6 + 2*x**2 + 10*x + 4
4*log(x + 1) - sin(x) - 3*cos(x),-9*x**4/8 + 3*x**3/2 - x**2/2 + 3*x - 3
3*exp(x) - 4*log(x + 1) + 2*atan(x),9*x**4/8 - 3*x**3/2 + 7*x**2/2 + x + 3
2*sinh(x) + cosh(x) + 3*acos(x),x**4/24 - x**3/6 + x**2/2 - x + 1 + 3*pi/2
4*cos(x) - cosh(x),x**4/8 - 5*x**2/2 + 3
5*x**3 + 4*cos(x),x**4/6 + 5*x**3 - 2*x**2 + 4
2*x**3 + 5*acos(x),7*x**3/6 - 5*x + 5*pi/2
x**3 + 2*x**2 + 5*tan(x),8*x**3/3 + 2*x**2 + 5*x
-2*x**3 - 4*tan(x) + 4*asin(x),-8*x**3/3
-6*exp(x) + 4*asin(x),-x**4/4 - x**3/3 - 3*x**2 - 2*x - 6
4*x + 2*tan(x),2*x**3/3 + 6*x
-5*exp(x) + tan(x) - 3*atan(x),-5*x**4/24 + x**3/2 - 5*x**2/2 - 7*x - 5
log(x + 1) - 2*sinh(x),-x**4/4 - x**2/2 - x
-2*log(x + 1) + 5*atan(x),x**4/2 - 7*x**3/3 + x**2 + 3*x
5*x**3 + 3*x**2 + 2*sinh(x),16*x**3/3 + 3*x**2 + 2*x
4*cos(x) - 5*tan(x) + 2*atan(x),x**4/6 - 7*x**3/3 - 2*x**2 - 3*x + 4
-4*cos(x) + 2*asin(x),-x**4/6 + x**3/3 + 2*x**2 + 2*x - 4
3*x + 3*sinh(x) + 3*cosh(x),x**4/8 + x**3/2 + 3*x**2/2 + 6*x + 3
4*sinh(x) + 5*cosh(x),5*x**4/24 + 2*x**3/3 + 5*x**2/2 + 4*x + 5
-5*exp(x) + atan(x),-5*x**4/24 - 7*x**3/6 - 5*x**2/2 - 4*x - 5
4*x**3 + 3*x + sinh(x),25*x**3/6 + 4*x
-4*log(x + 1) + 5*sin(x) - asin(x),x**4 - 7*x**3/3 + 2*x**2
4*cos(x) + cosh(x) + acos(x),5*x**4/24 - x**3/6 - 3*x**2/2 - x + pi/2 + 5
-5*exp(x) + 4*acos(x),-5*x**4/24 - 3*x**3/2 - 5*x**2/2 - 9*x - 5 + 2*pi
-3*log(x + 1) + asin(x),3*x**4/4 - 5*x**3/6 + 3*x**2/2 - 2*x
-2*x - 4*cos(x) - 2*tan(x),-x**4/6 - 2*x**3/3 + 2*x**2 - 4*x - 4
-5*x**2 + log(x + 1) - 3*sinh(x),-x**4/4 - x**3/6 - 11*x**2/2 - 2*x
4*sinh(x) - 5*acos(x) + 3*asin(x),2*x**3 + 12*x - 5*pi/2
-5*exp(x) - 2*cos(x),-7*x**4/24 - 5*x**3/6 - 3*x**2/2 - 5*x - 7
x + 3*cos(x),x**4/8 - 3*x**2/2 + x + 3
x - sin(x) + 5*cos(x),5*x**4/24 + x**3/6 - 5*x**2/2 + 5
5*x**3 + exp(x) - 3*log(x + 1),19*x**4/24 + 25*x**3/6 + 2*x**2 - 2*x + 1
log(x + 1) - acos(x) + 5*asin(x),-x**4/4 + 4*x**3/3 - x**2/2 + 7*x - pi/2
x**2 + 4*exp(x),x**4/6 + 2*x**3/3 + 3*x**2 + 4*x + 4
-5*x**3 - 3*cosh(x),-x**4/8 - 5*x**3 - 3*x**2/2 - 3
-2*x**2 - 5*sin(x) + 4*acos(x),x**3/6 - 2*x**2 - 9*x + 2*pi
-x**2 + 3*asin(x),x**3/2 - x**2 + 3*x
4*x - exp(x),-x**4/24 - x**3/6 - x**2/2 + 3*x - 1
-2*exp(x) + 3*asin(x),-x**4/12 + x**3/6 - x**2 + x - 2
-5*exp(x) - cos(x) - acos(x),-x**4/4 - 2*x**3/3 - 2*x**2 - 4*x - 6 - pi/2
-3*x - 4*cosh(x) - 2*atan(x),-x**4/6 + 2*x**3/3 - 2*x**2 - 5*x - 4
-3*x**3 - sin(x) + asin(x),-8*x**3/3
2*acos(x) - 3*atan(x),2*x**3/3 - 5*x + pi
-3*exp(x) + 4*asin(x),-x**4/8 + x**3/6 - 3*x**2/2 + x - 3
5*exp(x) + 4*asin(x),5*x**4/24 + 3*x**3/2 + 5*x**2/2 + 9*x + 5
3*x**3 - 3*tan(x) - 5*atan(x),11*x**3/3 - 8*x
-4*x**2 + 3*x + 5*cosh(x),5*x**4/24 - 3*x**2/2 + 3*x + 5
-4*exp(x) - 3*log(x + 1) + 4*sin(x),7*x**4/12 - 7*x**3/3 - x**2/2 - 3*x - 4
4*x**2 - 3*exp(x),-x**4/8 - x**3/2 + 5*x**2/2 - 3*x - 3
-3*sinh(x) + 2*asin(x),-x**3/6 - x
-2*cos(x) + 5*acos(x) + asin(x),-x**4/12 - 2*x**3/3 + x**2 - 4*x - 2 + 5*pi/2
2*x**3 - 2*tan(x) + 3*acos(x),5*x**3/6 - 5*x + 3*pi/2
4*x**3 - x - tan(x),11*x**3/3 - 2*x
3*x - 2*atan(x),2*x**3/3 + x
3*x**3 + 2*cos(x),x**4/12 + 3*x**3 - x**2 + 2
2*log(x + 1) - 2*atan(x),-x**4/2 + 4*x**3/3 - x**2
-2*cos(x) + 4*acos(x),-x**4/12 - 2*x**3/3 + x**2 - 4*x - 2 + 2*pi
-5*sin(x) - acos(x) + 2*asin(x),4*x**3/3 - 2*x - pi/2
-3*x**3 + 3*x**2,-3*x**3 + 3*x**2
4*log(x + 1) + 2*acos(x),-x**4 + x**3 - 2*x**2 + 2*x + pi
-5*x - 4*sinh(x),-2*x**3/3 - 9*x
-4*exp(x) - 3*cosh(x) + 2*acos(x),-7*x**4/24 - x**3 - 7*x**2/2 - 6*x - 7 + pi
3*sin(x) + 4*cosh(x),x**4/6 - x**3/2 + 2*x**2 + 3*x + 4
2*x**3 - 4*x**2 + cosh(x),x**4/24 + 2*x**3 - 7*x**2/2 + 1
5*log(x + 1) + sinh(x),-5*x**4/4 + 11*x**3/6 - 5*x**2/2 + 6*x
-x**2 - 2*cos(x) - 3*sinh(x),-x**4/12 - x**3/2 - 3*x - 2
4*x**2 + 5*exp(x),5*x**4/24 + 5*x**3/6 + 13*x**2/2 + 5*x + 5
x**2 - 5*cosh(x),-5*x**4/24 - 3*x**2/2 - 5
2*x**3 + 4*cos(x) + 5*atan(x),x**4/6 + x**3/3 - 2*x**2 + 5*x + 4
-4*x**2 + 4*x - 5*sinh(x),-5*x**3/6 - 4*x**2 - x
-7*x**2,-7*x**2
4*tan(x) + 3*sinh(x) - 2*acos(x),13*x**3/6 + 9*x - pi
4*log(x + 1) - sinh(x),-x**4 + 7*x**3/6 - 2*x**2 + 3*x
5*cos(x) - 4*asin(x),5*x**4/24 - 2*x**3/3 - 5*x**2/2 - 4*x + 5
5*x**3 + x**2 + 3*exp(x),x**4/8 + 11*x**3/2 + 5*x**2/2 + 3*x + 3
-2*x**2 - 5*acos(x) - atan(x),7*x**3/6 - 2*x**2 + 4*x - 5*pi/2
4*x**3 - 4*tan(x) - 3*cosh(x),-x**4/8 + 8*x**3/3 - 3*x**2/2 - 4*x - 3
2*x - 3*cosh(x),-x**4/8 - 3*x**2/2 + 2*x - 3
-2*sin(x) - 2*acos(x),2*x**3/3 - pi
3*cosh(x) - 3*asin(x),x**4/8 - x**3/2 + 3*x**2/2 - 3*x + 3
-4*cos(x) + 4*sinh(x),-x**4/6 + 2*x**3/3 + 2*x**2 + 4*x - 4
5*tan(x) - 5*acos(x),5*x**3/2 + 10*x - 5*pi/2
-x - 2*cos(x),-x**4/12 + x**2 - x - 2
2*x**3 + 3*x**2 - 3*atan(x),3*x**3 + 3*x**2 - 3*x
-4*cosh(x) + 3*atan(x),-x**4/6 - x**3 - 2*x**2 + 3*x - 4
2*x**3 + 2*cos(x),x**4/12 + 2*x**3 - x**2 + 2
2*x**3 - 4*sin(x) + 2*sinh(x),3*x**3 - 2*x
5*cos(x) - 2*acos(x) + 3*asin(x),5*x**4/24 + 5*x**3/6 - 5*x**2/2 + 5*x - pi + 5
-5*exp(x) - 4*sinh(x) + 4*cosh(x),-x**4/24 - 3*x**3/2 - x**2/2 - 9*x - 1
2*sinh(x) + 3*atan(x),-2*x**3/3 + 5*x
2*sin(x) - 3*acos(x),x**3/6 + 5*x - 3*pi/2
2*x - cos(x) - 5*acos(x),-x**4/24 + 5*x**3/6 + x**2/2 + 7*x - 5*pi/2 - 1
tan(x) - 5*sinh(x),-x**3/2 - 4*x
4*x**2 + 3*log(x + 1) + 5*sin(x),-3*x**4/4 + x**3/6 + 5*x**2/2 + 8*x
x**3 + 3*sin(x) + 4*asin(x),7*x**3/6 + 7*x
3*sin(x) + 4*tan(x) - 3*asin(x),x**3/3 + 4*x
-4*cosh(x) + 4*acos(x) + 5*atan(x),-x**4/6 - 7*x**3/3 - 2*x**2 + x - 4 + 2*pi
5*x**2 + 2*cos(x),x**4/12 + 4*x**2 + 2
-3*sin(x) + 3*tan(x) + cosh(x),x**4/24 + 3*x**3/2 + x**2/2 + 1
-2*x**3 + 5*cosh(x),5*x**4/24 - 2*x**3 + 5*x**2/2 + 5
cos(x) + 4*tan(x),x**4/24 + 4*x**3/3 - x**2/2 + 4*x + 1
-2*cos(x) - 2*acos(x),-x**4/12 + x**3/3 + x**2 + 2*x - pi - 2
-3*exp(x) - log(x + 1),x**4/8 - 5*x**3/6 - x**2 - 4*x - 3
4*cosh(x) + 3*asin(x),x**4/6 + x**3/2 + 2*x**2 + 3*x + 4
-4*exp(x) - 2*sin(x) - 5*acos(x),-x**4/6 + x**3/2 - 2*x**2 - x - 5*pi/2 - 4
-x**3 - cos(x) - 3*acos(x),-x**4/24 - x**3/2 + x**2/2 + 3*x - 3*pi/2 - 1
-2*exp(x) - 4*cosh(x),-x**4/4 - x**3/3 - 3*x**2 - 2*x - 6
-3*x**3 - 2*x**2,-3*x**3 - 2*x**2
-3*exp(x) + 4*tan(x) - asin(x),-x**4/8 + 2*x**3/3 - 3*x**2/2 - 3
2*x**2 + exp(x) + 2*sin(x),x**4/24 - x**3/6 + 5*x**2/2 + 3*x + 1
2*x**3 - 3*x,2*x**3 - 3*x
-10*x**2 + 5*x,-10*x**2 + 5*x
-2*exp(x) + 3*sin(x) - 2*cosh(x),-x**4/6 - 5*x**3/6 - 2*x**2 + x - 4
-log(x + 1) + sinh(x),x**4/4 - x**3/6 + x**2/2
-3*sin(x) - 2*sinh(x),x**3/6 - 5*x
2*cos(x) - 4*tan(x) - 2*cosh(x),-4*x**3/3 - 2*x**2 - 4*x
-4*log(x + 1) - 5*cos(x),19*x**4/24 - 4*x**3/3 + 9*x**2/2 - 4*x - 5
3*exp(x) - acos(x) - asin(x),x**4/8 + x**3/2 + 3*x**2/2 + 3*x - pi/2 + 3
